city_name,datetime,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
Nāsik,1989-10-26,1.0,31.9,18.5,25.1,33.1,18.9,25.6,1989-10-26 01:03:00,1989-10-26 12:34:00,41412.55,38073.07,0.0,0.0,0.0,0.0,12.3,29.9,73.0,20.37,4.83
Chandīgarh,2004-01-13,1.0,20.6,8.6,14.4,20.3,7.3,13.9,2004-01-13 01:51:00,2004-01-13 12:10:00,37197.59,34076.2,0.0,0.0,0.0,0.0,8.8,19.1,349.0,12.69,2.15
Madurai,1985-02-24,0.0,35.3,19.4,27.0,34.7,20.1,27.1,1985-02-24 01:04:00,1985-02-24 12:57:00,42816.04,40333.08,0.0,0.0,0.0,0.0,14.6,36.4,44.0,26.22,6.62
Āgra,2001-10-20,0.0,34.8,16.2,25.7,34.5,15.2,25.3,2001-10-20 00:50:00,2001-10-20 12:15:00,41049.16,38299.59,0.0,0.0,0.0,0.0,10.1,19.1,29.0,19.76,4.97
Patna,2022-03-04,0.0,30.4,15.7,22.8,30.0,15.1,22.2,2022-03-04 00:39:00,2022-03-04 12:22:00,42179.86,39446.82,0.0,0.0,0.0,0.0,19.5,34.6,277.0,19.67,5.13
Bangalore,2020-10-30,1.0,26.9,17.3,21.6,27.4,17.5,21.9,2020-10-30 00:43:00,2020-10-30 12:23:00,42040.91,39349.75,0.0,0.0,0.0,0.0,14.0,28.4,66.0,22.01,4.63
Kolkāta,2023-06-21,63.0,33.7,27.4,29.5,39.6,33.1,35.4,2023-06-20 23:22:00,2023-06-21 12:53:00,48669.94,16365.38,11.7,11.7,0.0,10.0,19.9,35.6,171.0,12.11,2.99
Kanpur,1991-01-24,0.0,24.1,9.0,16.5,21.8,6.7,14.4,1991-01-24 01:26:00,1991-01-24 12:14:00,38873.93,35473.38,0.0,0.0,0.0,0.0,12.7,25.9,284.0,16.87,3.67
Supaul,2004-09-04,53.0,31.8,25.6,28.4,38.7,30.7,34.5,2004-09-03 23:54:00,2004-09-04 12:29:00,45294.27,38706.46,1.8,1.8,0.0,5.0,10.5,24.1,92.0,16.0,3.4
Vadodara,2000-12-31,63.0,23.0,14.8,18.6,23.2,15.1,18.5,2000-12-31 01:46:00,2000-12-31 12:34:00,38849.18,26882.07,11.5,11.5,0.0,7.0,13.2,29.5,106.0,10.72,2.24
