date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-09-11,Jind,1,Satisfactory,82,PM2.5
2020-06-04,Charkhi Dadri,1,Moderate,197,PM2.5
2016-02-06,Gaya,1,Poor,207,PM2.5
2019-01-12,Gaya,1,Severe,401,PM2.5
2023-10-27,Barmer,1,Moderate,106,PM10
2020-03-12,Patna,6,Moderate,155,"NO2, PM10, PM2.5"
2021-07-14,Katni,1,Good,44,O3
2017-05-22,Navi Mumbai,1,Satisfactory,100,CO
2020-02-01,Kolkata,6,Moderate,148,"O3, PM10, PM2.5"
2023-12-23,Ludhiana,1,Poor,275,PM2.5
2023-08-30,Bhiwani,1,Satisfactory,63,PM10
2020-06-17,Singrauli,1,Satisfactory,54,PM10
2016-06-07,Jaipur,1,Poor,220,PM10
2022-11-05,Sagar,2,Moderate,117,"CO, PM2.5"
2023-12-05,Solapur,3,Satisfactory,100,PM10
2018-01-22,Noida,2,Very Poor,314,PM2.5
2022-02-01,Mumbai,13,Moderate,185,"PM10, PM2.5"
2017-08-25,Chandrapur,2,Satisfactory,69,"CO, PM10"
2022-08-02,Talcher,1,Satisfactory,81,NO2
2023-08-12,Chittoor,1,Good,48,PM2.5
2020-01-29,Eloor,1,Moderate,121,PM10
2020-07-02,Chikkamagaluru,1,Good,35,PM10
2022-11-03,Gwalior,1,Moderate,146,PM2.5
2023-08-30,Kohima,1,Satisfactory,94,PM10
2021-06-02,Asansol,1,Satisfactory,51,PM10
2020-08-22,Lucknow,4,Satisfactory,62,"O3, PM10"
2023-08-13,Kannur,1,Satisfactory,70,PM10
2020-08-30,Kozhikode,1,Good,7,NO2
2021-08-03,Bengaluru,8,Satisfactory,67,"CO, PM10"
2022-01-06,Prayagraj,3,Poor,282,PM2.5
2019-06-26,Dharuhera,1,Moderate,117,PM10
2023-04-01,Chennai,7,Satisfactory,65,"NO2, O3"
2023-02-06,Ballabgarh,1,Satisfactory,98,CO
2023-05-01,Ambala,1,Satisfactory,88,PM10
2020-09-22,Chennai,4,Satisfactory,69,"O3, PM2.5"
2023-11-15,Kadapa,1,Moderate,115,PM2.5
2022-03-17,Bidar,1,Moderate,107,PM10
2021-03-10,Ajmer,1,Moderate,114,PM10
2023-11-22,Banswara,1,Poor,237,PM2.5
2022-02-14,Thrissur,1,Satisfactory,80,PM2.5
2023-09-08,Kurukshetra,1,Satisfactory,93,PM10
2020-07-06,Gwalior,1,Satisfactory,75,O3
2019-10-02,Pali,1,Good,50,PM10
2023-12-04,Brajrajnagar,1,Satisfactory,69,PM10
2017-12-07,Patna,1,Severe,421,PM2.5
2021-11-19,Manesar,1,Very Poor,335,PM2.5
2023-08-29,Jhalawar,1,Satisfactory,89,PM10
2021-12-05,Aizawl,1,Good,10,CO
2023-11-15,Raipur,3,Moderate,102,PM10
2020-03-20,Hisar,1,Moderate,128,PM2.5
